"","...1","DATE","UNRATE","year","quarter_yr","quarter_cycle","year_qt","unrate_qt_total"
"1",1,"1/1/48",3.4,1948,1,1,"1948_1",11.2
"2",4,"4/1/48",3.9,1948,2,2,"1948_2",11
"3",7,"7/1/48",3.6,1948,3,3,"1948_3",11.3
"4",10,"10/1/48",3.7,1948,4,4,"1948_4",11.5
"5",13,"1/1/49",4.3,1949,1,5,"1949_5",14
"6",16,"4/1/49",5.3,1949,2,6,"1949_6",17.6
"7",19,"7/1/49",6.7,1949,3,7,"1949_7",20.1
"8",22,"10/1/49",7.9,1949,4,8,"1949_8",20.9
"9",25,"1/1/50",6.5,1950,1,1,"1950_1",19.2
"10",28,"4/1/50",5.8,1950,2,2,"1950_2",16.7
"11",31,"7/1/50",5,1950,3,3,"1950_3",13.9
"12",34,"10/1/50",4.2,1950,4,4,"1950_4",12.7
"13",37,"1/1/51",3.7,1951,1,5,"1951_5",10.5
"14",40,"4/1/51",3.1,1951,2,6,"1951_6",9.3
"15",43,"7/1/51",3.1,1951,3,7,"1951_7",9.5
"16",46,"10/1/51",3.5,1951,4,8,"1951_8",10.1
"17",49,"1/1/52",3.2,1952,1,1,"1952_1",9.2
"18",52,"4/1/52",2.9,1952,2,2,"1952_2",8.9
"19",55,"7/1/52",3.2,1952,3,3,"1952_3",9.7
"20",58,"10/1/52",3,1952,4,4,"1952_4",8.5
"21",61,"1/1/53",2.9,1953,1,5,"1953_5",8.1
"22",64,"4/1/53",2.7,1953,2,6,"1953_6",7.7
"23",67,"7/1/53",2.6,1953,3,7,"1953_7",8.2
"24",70,"10/1/53",3.1,1953,4,8,"1953_8",11.1
"25",73,"1/1/54",4.9,1954,1,1,"1954_1",15.8
"26",76,"4/1/54",5.9,1954,2,2,"1954_2",17.4
"27",79,"7/1/54",5.8,1954,3,3,"1954_3",17.9
"28",82,"10/1/54",5.7,1954,4,4,"1954_4",16
"29",85,"1/1/55",4.9,1955,1,5,"1955_5",14.2
"30",88,"4/1/55",4.7,1955,2,6,"1955_6",13.2
"31",91,"7/1/55",4,1955,3,7,"1955_7",12.3
"32",94,"10/1/55",4.3,1955,4,8,"1955_8",12.7
"33",97,"1/1/56",4,1956,1,1,"1956_1",12.1
"34",100,"4/1/56",4,1956,2,2,"1956_2",12.6
"35",103,"7/1/56",4.4,1956,3,3,"1956_3",12.4
"36",106,"10/1/56",3.9,1956,4,4,"1956_4",12.4
"37",109,"1/1/57",4.2,1957,1,5,"1957_5",11.8
"38",112,"4/1/57",3.9,1957,2,6,"1957_6",12.3
"39",115,"7/1/57",4.2,1957,3,7,"1957_7",12.7
"40",118,"10/1/57",4.5,1957,4,8,"1957_8",14.8
"41",121,"1/1/58",5.8,1958,1,1,"1958_1",18.9
"42",124,"4/1/58",7.4,1958,2,2,"1958_2",22.1
"43",127,"7/1/58",7.5,1958,3,3,"1958_3",22
"44",130,"10/1/58",6.7,1958,4,4,"1958_4",19.1
"45",133,"1/1/59",6,1959,1,5,"1959_5",17.5
"46",136,"4/1/59",5.2,1959,2,6,"1959_6",15.3
"47",139,"7/1/59",5.1,1959,3,7,"1959_7",15.8
"48",142,"10/1/59",5.7,1959,4,8,"1959_8",16.8
"49",145,"1/1/60",5.2,1960,1,1,"1960_1",15.4
"50",148,"4/1/60",5.2,1960,2,2,"1960_2",15.7
"51",151,"7/1/60",5.5,1960,3,3,"1960_3",16.6
"52",154,"10/1/60",6.1,1960,4,4,"1960_4",18.8
"53",157,"1/1/61",6.6,1961,1,5,"1961_5",20.4
"54",160,"4/1/61",7,1961,2,6,"1961_6",21
"55",163,"7/1/61",7,1961,3,7,"1961_7",20.3
"56",166,"10/1/61",6.5,1961,4,8,"1961_8",18.6
"57",169,"1/1/62",5.8,1962,1,1,"1962_1",16.9
"58",172,"4/1/62",5.6,1962,2,2,"1962_2",16.6
"59",175,"7/1/62",5.4,1962,3,3,"1962_3",16.7
"60",178,"10/1/62",5.4,1962,4,4,"1962_4",16.6
"61",181,"1/1/63",5.7,1963,1,5,"1963_5",17.3
"62",184,"4/1/63",5.7,1963,2,6,"1963_6",17.2
"63",187,"7/1/63",5.6,1963,3,7,"1963_7",16.5
"64",190,"10/1/63",5.5,1963,4,8,"1963_8",16.7
"65",193,"1/1/64",5.6,1964,1,1,"1964_1",16.4
"66",196,"4/1/64",5.3,1964,2,2,"1964_2",15.6
"67",199,"7/1/64",4.9,1964,3,3,"1964_3",15
"68",202,"10/1/64",5.1,1964,4,4,"1964_4",14.9
"69",205,"1/1/65",4.9,1965,1,5,"1965_5",14.7
"70",208,"4/1/65",4.8,1965,2,6,"1965_6",14
"71",211,"7/1/65",4.4,1965,3,7,"1965_7",13.1
"72",214,"10/1/65",4.2,1965,4,8,"1965_8",12.3
"73",217,"1/1/66",4,1966,1,1,"1966_1",11.6
"74",220,"4/1/66",3.8,1966,2,2,"1966_2",11.5
"75",223,"7/1/66",3.8,1966,3,3,"1966_3",11.3
"76",226,"10/1/66",3.7,1966,4,4,"1966_4",11.1
"77",229,"1/1/67",3.9,1967,1,5,"1967_5",11.5
"78",232,"4/1/67",3.8,1967,2,6,"1967_6",11.5
"79",235,"7/1/67",3.8,1967,3,7,"1967_7",11.4
"80",238,"10/1/67",4,1967,4,8,"1967_8",11.7
"81",241,"1/1/68",3.7,1968,1,1,"1968_1",11.2
"82",244,"4/1/68",3.5,1968,2,2,"1968_2",10.7
"83",247,"7/1/68",3.7,1968,3,3,"1968_3",10.6
"84",250,"10/1/68",3.4,1968,4,4,"1968_4",10.2
"85",253,"1/1/69",3.4,1969,1,5,"1969_5",10.2
"86",256,"4/1/69",3.4,1969,2,6,"1969_6",10.3
"87",259,"7/1/69",3.5,1969,3,7,"1969_7",10.7
"88",262,"10/1/69",3.7,1969,4,8,"1969_8",10.7
"89",265,"1/1/70",3.9,1970,1,1,"1970_1",12.5
"90",268,"4/1/70",4.6,1970,2,2,"1970_2",14.3
"91",271,"7/1/70",5,1970,3,3,"1970_3",15.5
"92",274,"10/1/70",5.5,1970,4,4,"1970_4",17.5
"93",277,"1/1/71",5.9,1971,1,5,"1971_5",17.8
"94",280,"4/1/71",5.9,1971,2,6,"1971_6",17.7
"95",283,"7/1/71",6,1971,3,7,"1971_7",18.1
"96",286,"10/1/71",5.8,1971,4,8,"1971_8",17.8
"97",289,"1/1/72",5.8,1972,1,1,"1972_1",17.3
"98",292,"4/1/72",5.7,1972,2,2,"1972_2",17.1
"99",295,"7/1/72",5.6,1972,3,3,"1972_3",16.7
"100",298,"10/1/72",5.6,1972,4,4,"1972_4",16.1
"101",301,"1/1/73",4.9,1973,1,5,"1973_5",14.8
"102",304,"4/1/73",5,1973,2,6,"1973_6",14.8
"103",307,"7/1/73",4.8,1973,3,7,"1973_7",14.4
"104",310,"10/1/73",4.6,1973,4,8,"1973_8",14.3
"105",313,"1/1/74",5.1,1974,1,1,"1974_1",15.4
"106",316,"4/1/74",5.1,1974,2,2,"1974_2",15.6
"107",319,"7/1/74",5.5,1974,3,3,"1974_3",16.9
"108",322,"10/1/74",6,1974,4,4,"1974_4",19.8
"109",325,"1/1/75",8.1,1975,1,5,"1975_5",24.8
"110",328,"4/1/75",8.8,1975,2,6,"1975_6",26.6
"111",331,"7/1/75",8.6,1975,3,7,"1975_7",25.4
"112",334,"10/1/75",8.4,1975,4,8,"1975_8",24.9
"113",337,"1/1/76",7.9,1976,1,1,"1976_1",23.2
"114",340,"4/1/76",7.7,1976,2,2,"1976_2",22.7
"115",343,"7/1/76",7.8,1976,3,3,"1976_3",23.2
"116",346,"10/1/76",7.7,1976,4,4,"1976_4",23.3
"117",349,"1/1/77",7.5,1977,1,5,"1977_5",22.5
"118",352,"4/1/77",7.2,1977,2,6,"1977_6",21.4
"119",355,"7/1/77",6.9,1977,3,7,"1977_7",20.7
"120",358,"10/1/77",6.8,1977,4,8,"1977_8",20
"121",361,"1/1/78",6.4,1978,1,1,"1978_1",19
"122",364,"4/1/78",6.1,1978,2,2,"1978_2",18
"123",367,"7/1/78",6.2,1978,3,3,"1978_3",18.1
"124",370,"10/1/78",5.8,1978,4,4,"1978_4",17.7
"125",373,"1/1/79",5.9,1979,1,5,"1979_5",17.6
"126",376,"4/1/79",5.8,1979,2,6,"1979_6",17.1
"127",379,"7/1/79",5.7,1979,3,7,"1979_7",17.6
"128",382,"10/1/79",6,1979,4,8,"1979_8",17.9
"129",385,"1/1/80",6.3,1980,1,1,"1980_1",18.9
"130",388,"4/1/80",6.9,1980,2,2,"1980_2",22
"131",391,"7/1/80",7.8,1980,3,3,"1980_3",23
"132",394,"10/1/80",7.5,1980,4,4,"1980_4",22.2
"133",397,"1/1/81",7.5,1981,1,5,"1981_5",22.3
"134",400,"4/1/81",7.2,1981,2,6,"1981_6",22.2
"135",403,"7/1/81",7.2,1981,3,7,"1981_7",22.2
"136",406,"10/1/81",7.9,1981,4,8,"1981_8",24.7
"137",409,"1/1/82",8.6,1982,1,1,"1982_1",26.5
"138",412,"4/1/82",9.3,1982,2,2,"1982_2",28.3
"139",415,"7/1/82",9.8,1982,3,3,"1982_3",29.7
"140",418,"10/1/82",10.4,1982,4,4,"1982_4",32
"141",421,"1/1/83",10.4,1983,1,5,"1983_5",31.1
"142",424,"4/1/83",10.2,1983,2,6,"1983_6",30.4
"143",427,"7/1/83",9.4,1983,3,7,"1983_7",28.1
"144",430,"10/1/83",8.8,1983,4,8,"1983_8",25.6
"145",433,"1/1/84",8,1984,1,1,"1984_1",23.6
"146",436,"4/1/84",7.7,1984,2,2,"1984_2",22.3
"147",439,"7/1/84",7.5,1984,3,3,"1984_3",22.3
"148",442,"10/1/84",7.4,1984,4,4,"1984_4",21.9
"149",445,"1/1/85",7.3,1985,1,5,"1985_5",21.7
"150",448,"4/1/85",7.3,1985,2,6,"1985_6",21.9
"151",451,"7/1/85",7.4,1985,3,7,"1985_7",21.6
"152",454,"10/1/85",7.1,1985,4,8,"1985_8",21.1
"153",457,"1/1/86",6.7,1986,1,1,"1986_1",21.1
"154",460,"4/1/86",7.1,1986,2,2,"1986_2",21.5
"155",463,"7/1/86",7,1986,3,3,"1986_3",20.9
"156",466,"10/1/86",7,1986,4,4,"1986_4",20.5
"157",469,"1/1/87",6.6,1987,1,5,"1987_5",19.8
"158",472,"4/1/87",6.3,1987,2,6,"1987_6",18.8
"159",475,"7/1/87",6.1,1987,3,7,"1987_7",18
"160",478,"10/1/87",6,1987,4,8,"1987_8",17.5
"161",481,"1/1/88",5.7,1988,1,1,"1988_1",17.1
"162",484,"4/1/88",5.4,1988,2,2,"1988_2",16.4
"163",487,"7/1/88",5.4,1988,3,3,"1988_3",16.4
"164",490,"10/1/88",5.4,1988,4,4,"1988_4",16
"165",493,"1/1/89",5.4,1989,1,5,"1989_5",15.6
"166",496,"4/1/89",5.2,1989,2,6,"1989_6",15.7
"167",499,"7/1/89",5.2,1989,3,7,"1989_7",15.7
"168",502,"10/1/89",5.3,1989,4,8,"1989_8",16.1
"169",505,"1/1/90",5.4,1990,1,1,"1990_1",15.9
"170",508,"4/1/90",5.4,1990,2,2,"1990_2",16
"171",511,"7/1/90",5.5,1990,3,3,"1990_3",17.1
"172",514,"10/1/90",5.9,1990,4,4,"1990_4",18.4
"173",517,"1/1/91",6.4,1991,1,5,"1991_5",19.8
"174",520,"4/1/91",6.7,1991,2,6,"1991_6",20.5
"175",523,"7/1/91",6.8,1991,3,7,"1991_7",20.6
"176",526,"10/1/91",7,1991,4,8,"1991_8",21.3
"177",529,"1/1/92",7.3,1992,1,1,"1992_1",22.1
"178",532,"4/1/92",7.4,1992,2,2,"1992_2",22.8
"179",535,"7/1/92",7.7,1992,3,3,"1992_3",22.9
"180",538,"10/1/92",7.3,1992,4,4,"1992_4",22.1
"181",541,"1/1/93",7.3,1993,1,5,"1993_5",21.4
"182",544,"4/1/93",7.1,1993,2,6,"1993_6",21.2
"183",547,"7/1/93",6.9,1993,3,7,"1993_7",20.4
"184",550,"10/1/93",6.8,1993,4,8,"1993_8",19.9
"185",553,"1/1/94",6.6,1994,1,1,"1994_1",19.7
"186",556,"4/1/94",6.4,1994,2,2,"1994_2",18.6
"187",559,"7/1/94",6.1,1994,3,3,"1994_3",18
"188",562,"10/1/94",5.8,1994,4,4,"1994_4",16.9
"189",565,"1/1/95",5.6,1995,1,5,"1995_5",16.4
"190",568,"4/1/95",5.8,1995,2,6,"1995_6",17
"191",571,"7/1/95",5.7,1995,3,7,"1995_7",17
"192",574,"10/1/95",5.5,1995,4,8,"1995_8",16.7
"193",577,"1/1/96",5.6,1996,1,1,"1996_1",16.6
"194",580,"4/1/96",5.6,1996,2,2,"1996_2",16.5
"195",583,"7/1/96",5.5,1996,3,3,"1996_3",15.8
"196",586,"10/1/96",5.2,1996,4,4,"1996_4",16
"197",589,"1/1/97",5.3,1997,1,5,"1997_5",15.7
"198",592,"4/1/97",5.1,1997,2,6,"1997_6",15
"199",595,"7/1/97",4.9,1997,3,7,"1997_7",14.6
"200",598,"10/1/97",4.7,1997,4,8,"1997_8",14
"201",601,"1/1/98",4.6,1998,1,1,"1998_1",13.9
"202",604,"4/1/98",4.3,1998,2,2,"1998_2",13.2
"203",607,"7/1/98",4.5,1998,3,3,"1998_3",13.6
"204",610,"10/1/98",4.5,1998,4,4,"1998_4",13.3
"205",613,"1/1/99",4.3,1999,1,5,"1999_5",12.9
"206",616,"4/1/99",4.3,1999,2,6,"1999_6",12.8
"207",619,"7/1/99",4.3,1999,3,7,"1999_7",12.7
"208",622,"10/1/99",4.1,1999,4,8,"1999_8",12.2
"209",625,"1/1/00",4,2000,1,1,"2000_1",12.1
"210",628,"4/1/00",3.8,2000,2,2,"2000_2",11.8
"211",631,"7/1/00",4,2000,3,3,"2000_3",12
"212",634,"10/1/00",3.9,2000,4,4,"2000_4",11.7
"213",637,"1/1/01",4.2,2001,1,5,"2001_5",12.7
"214",640,"4/1/01",4.4,2001,2,6,"2001_6",13.2
"215",643,"7/1/01",4.6,2001,3,7,"2001_7",14.5
"216",646,"10/1/01",5.3,2001,4,8,"2001_8",16.5
"217",649,"1/1/02",5.7,2002,1,1,"2002_1",17.1
"218",652,"4/1/02",5.9,2002,2,2,"2002_2",17.5
"219",655,"7/1/02",5.8,2002,3,3,"2002_3",17.2
"220",658,"10/1/02",5.7,2002,4,4,"2002_4",17.6
"221",661,"1/1/03",5.8,2003,1,5,"2003_5",17.6
"222",664,"4/1/03",6,2003,2,6,"2003_6",18.4
"223",667,"7/1/03",6.2,2003,3,7,"2003_7",18.4
"224",670,"10/1/03",6,2003,4,8,"2003_8",17.5
"225",673,"1/1/04",5.7,2004,1,1,"2004_1",17.1
"226",676,"4/1/04",5.6,2004,2,2,"2004_2",16.8
"227",679,"7/1/04",5.5,2004,3,3,"2004_3",16.3
"228",682,"10/1/04",5.5,2004,4,4,"2004_4",16.3
"229",685,"1/1/05",5.3,2005,1,5,"2005_5",15.9
"230",688,"4/1/05",5.2,2005,2,6,"2005_6",15.3
"231",691,"7/1/05",5,2005,3,7,"2005_7",14.9
"232",694,"10/1/05",5,2005,4,8,"2005_8",14.9
"233",697,"1/1/06",4.7,2006,1,1,"2006_1",14.2
"234",700,"4/1/06",4.7,2006,2,2,"2006_2",13.9
"235",703,"7/1/06",4.7,2006,3,3,"2006_3",13.9
"236",706,"10/1/06",4.4,2006,4,4,"2006_4",13.3
"237",709,"1/1/07",4.6,2007,1,5,"2007_5",13.5
"238",712,"4/1/07",4.5,2007,2,6,"2007_6",13.5
"239",715,"7/1/07",4.7,2007,3,7,"2007_7",14
"240",718,"10/1/07",4.7,2007,4,8,"2007_8",14.4
"241",721,"1/1/08",5,2008,1,1,"2008_1",15
"242",724,"4/1/08",5,2008,2,2,"2008_2",16
"243",727,"7/1/08",5.8,2008,3,3,"2008_3",18
"244",730,"10/1/08",6.5,2008,4,4,"2008_4",20.6
"245",733,"1/1/09",7.8,2009,1,5,"2009_5",24.8
"246",736,"4/1/09",9,2009,2,6,"2009_6",27.9
"247",739,"7/1/09",9.5,2009,3,7,"2009_7",28.9
"248",742,"10/1/09",10,2009,4,8,"2009_8",29.8
"249",745,"1/1/10",9.8,2010,1,1,"2010_1",29.5
"250",748,"4/1/10",9.9,2010,2,2,"2010_2",28.9
"251",751,"7/1/10",9.4,2010,3,3,"2010_3",28.4
"252",754,"10/1/10",9.4,2010,4,4,"2010_4",28.5
"253",757,"1/1/11",9.1,2011,1,5,"2011_5",27.1
"254",760,"4/1/11",9.1,2011,2,6,"2011_6",27.2
"255",763,"7/1/11",9,2011,3,7,"2011_7",27
"256",766,"10/1/11",8.8,2011,4,8,"2011_8",25.9
"257",769,"1/1/12",8.3,2012,1,1,"2012_1",24.8
"258",772,"4/1/12",8.2,2012,2,2,"2012_2",24.6
"259",775,"7/1/12",8.2,2012,3,3,"2012_3",24.1
"260",778,"10/1/12",7.8,2012,4,4,"2012_4",23.4
"261",781,"1/1/13",8,2013,1,5,"2013_5",23.2
"262",784,"4/1/13",7.6,2013,2,6,"2013_6",22.6
"263",787,"7/1/13",7.3,2013,3,7,"2013_7",21.7
"264",790,"10/1/13",7.2,2013,4,8,"2013_8",20.8
"265",793,"1/1/14",6.6,2014,1,1,"2014_1",20
"266",796,"4/1/14",6.2,2014,2,2,"2014_2",18.6
"267",799,"7/1/14",6.2,2014,3,3,"2014_3",18.2
"268",802,"10/1/14",5.7,2014,4,4,"2014_4",17.1
"269",805,"1/1/15",5.7,2015,1,5,"2015_5",16.6
"270",808,"4/1/15",5.4,2015,2,6,"2015_6",16.3
"271",811,"7/1/15",5.2,2015,3,7,"2015_7",15.3
"272",814,"10/1/15",5,2015,4,8,"2015_8",15.1
"273",817,"1/1/16",4.9,2016,1,1,"2016_1",14.8
"274",820,"4/1/16",5,2016,2,2,"2016_2",14.7
"275",823,"7/1/16",4.8,2016,3,3,"2016_3",14.7
"276",826,"10/1/16",4.9,2016,4,4,"2016_4",14.3
"277",829,"1/1/17",4.7,2017,1,5,"2017_5",13.7
"278",832,"4/1/17",4.4,2017,2,6,"2017_6",13.1
"279",835,"7/1/17",4.3,2017,3,7,"2017_7",12.9
"280",838,"10/1/17",4.1,2017,4,8,"2017_8",12.4
"281",841,"1/1/18",4.1,2018,1,1,"2018_1",12.2
"282",844,"4/1/18",4,2018,2,2,"2018_2",11.8
"283",847,"7/1/18",3.8,2018,3,3,"2018_3",11.3
"284",850,"10/1/18",3.8,2018,4,4,"2018_4",11.4
"285",853,"1/1/19",4,2019,1,5,"2019_5",11.6
"286",856,"4/1/19",3.6,2019,2,6,"2019_6",10.9
"287",859,"7/1/19",3.7,2019,3,7,"2019_7",10.9
"288",862,"10/1/19",3.6,2019,4,8,"2019_8",10.6
"289",865,"1/1/20",3.6,2020,1,1,"2020_1",11.5
"290",868,"4/1/20",14.7,2020,2,2,"2020_2",39.1
"291",871,"7/1/20",10.2,2020,3,3,"2020_3",26.5
"292",874,"10/1/20",6.9,2020,4,4,"2020_4",20.3
"293",877,"1/1/21",6.4,2021,1,5,"2021_5",18.6
"294",880,"4/1/21",6,2021,2,6,"2021_6",17.7
"295",883,"7/1/21",5.4,2021,3,7,"2021_7",15.3
"296",886,"10/1/21",4.6,2021,4,8,"2021_8",12.7
"297",889,"1/1/22",4,2022,1,1,"2022_1",11.4
"298",892,"4/1/22",3.6,2022,2,2,"2022_2",10.8
