,date,year,quarter_yr,quarter_cycle,year_qt,DSPIC_qt,DSPIC_change_qt,DSPIC_change_pct
1,1/1/59,1959,1,1,1959_1,6587.4,0,0
2,4/1/59,1959,2,2,1959_2,6693.7,106.3,1.613686735
3,7/1/59,1959,3,3,1959_3,6684.6,-9.1,-0.135948728
4,10/1/59,1959,4,4,1959_4,6732.1,47.5,0.710588517
5,1/1/60,1960,1,5,1960_5,6809.9,77.8,1.155657224
6,4/1/60,1960,2,6,1960_6,6853.9,44,0.646118152
7,7/1/60,1960,3,7,1960_7,6867,13.1,0.191132056
8,10/1/60,1960,4,8,1960_8,6864.1,-2.9,-0.04223096
9,1/1/61,1961,1,1,1961_1,6928.9,64.8,0.944042191
10,4/1/61,1961,2,2,1961_2,7034.2,105.3,1.519721745
11,7/1/61,1961,3,3,1961_3,7127.9,93.7,1.332063348
12,10/1/61,1961,4,4,1961_4,7266.7,138.8,1.947277599
13,1/1/62,1962,1,5,1962_5,7338.4,71.7,0.986692722
14,4/1/62,1962,2,6,1962_6,7417.7,79.3,1.080617028
15,7/1/62,1962,3,7,1962_7,7457.6,39.9,0.537902584
16,10/1/62,1962,4,8,1962_8,7523.7,66.1,0.886344132
17,1/1/63,1963,1,1,1963_1,7589.1,65.4,0.86925316
18,4/1/63,1963,2,2,1963_2,7658.9,69.8,0.919740154
19,7/1/63,1963,3,3,1963_3,7742.7,83.8,1.094151902
20,10/1/63,1963,4,4,1963_4,7868.9,126.2,1.629922378
21,1/1/64,1964,1,5,1964_5,8022.8,153.9,1.955800684
22,4/1/64,1964,2,6,1964_6,8239.2,216.4,2.697312659
23,7/1/64,1964,3,7,1964_7,8346.5,107.3,1.302310904
24,10/1/64,1964,4,8,1964_8,8441.6,95.1,1.139399748
25,1/1/65,1965,1,1,1965_1,8540.9,99.3,1.176317286
26,4/1/65,1965,2,2,1965_2,8637.2,96.3,1.127515836
27,7/1/65,1965,3,3,1965_3,8873.4,236.2,2.734682536
28,10/1/65,1965,4,4,1965_4,9052,178.6,2.012757229
29,1/1/66,1966,1,5,1966_5,9141.7,89.7,0.990941228
30,4/1/66,1966,2,6,1966_6,9165.8,24.1,0.263627115
31,7/1/66,1966,3,7,1966_7,9277.8,112,1.22193371
32,10/1/66,1966,4,8,1966_8,9386.5,108.7,1.17161396
33,1/1/67,1967,1,1,1967_1,9528.2,141.7,1.509614872
34,4/1/67,1967,2,2,1967_2,9603.8,75.6,0.793434227
35,7/1/67,1967,3,3,1967_3,9695.1,91.3,0.950665362
36,10/1/67,1967,4,4,1967_4,9766,70.9,0.731297253
37,1/1/68,1968,1,5,1968_5,9928.6,162.6,1.664960066
38,4/1/68,1968,2,6,1968_6,10092.1,163.5,1.646757851
39,7/1/68,1968,3,7,1968_7,10124.4,32.3,0.320052318
40,10/1/68,1968,4,8,1968_8,10202.6,78.2,0.77239145
41,1/1/69,1969,1,1,1969_1,10227.9,25.3,0.247976006
42,4/1/69,1969,2,2,1969_2,10327.8,99.9,0.976740093
43,7/1/69,1969,3,3,1969_3,10538.6,210.8,2.041092972
44,10/1/69,1969,4,4,1969_4,10619.1,80.5,0.763858577
45,1/1/70,1970,1,5,1970_5,10730.7,111.6,1.05093652
46,4/1/70,1970,2,6,1970_6,10863.2,132.5,1.234774991
47,7/1/70,1970,3,7,1970_7,11036.8,173.6,1.598055821
48,10/1/70,1970,4,8,1970_8,11010.3,-26.5,-0.240105828
49,1/1/71,1971,1,1,1971_1,11229.9,219.6,1.994496063
50,4/1/71,1971,2,2,1971_2,11393.3,163.4,1.455044123
51,7/1/71,1971,3,3,1971_3,11453,59.7,0.523992171
52,10/1/71,1971,4,4,1971_4,11586.6,133.6,1.166506592
53,1/1/72,1972,1,5,1972_5,11639.7,53.1,0.458288022
54,4/1/72,1972,2,6,1972_6,11760.5,120.8,1.037827435
55,7/1/72,1972,3,7,1972_7,11989.2,228.7,1.944645211
56,10/1/72,1972,4,8,1972_8,12469.7,480.5,4.007773663
57,1/1/73,1973,1,1,1973_1,12564.3,94.6,0.758638941
58,4/1/73,1973,2,2,1973_2,12670.3,106,0.843660212
59,7/1/73,1973,3,3,1973_3,12727.6,57.3,0.4522387
60,10/1/73,1973,4,4,1973_4,12866.8,139.2,1.093686162
61,1/1/74,1974,1,5,1974_5,12653.8,-213,-1.65542326
62,4/1/74,1974,2,6,1974_6,12535.8,-118,-0.932526198
63,7/1/74,1974,3,7,1974_7,12547,11.2,0.089344118
64,10/1/74,1974,4,8,1974_8,12530,-17,-0.135490556
65,1/1/75,1975,1,1,1975_1,12511.5,-18.5,-0.14764565
66,4/1/75,1975,2,2,1975_2,13090.2,578.7,4.625344683
67,7/1/75,1975,3,3,1975_3,12899.7,-190.5,-1.455287161
68,10/1/75,1975,4,4,1975_4,13001.1,101.4,0.786064792
69,1/1/76,1976,1,5,1976_5,13157.6,156.5,1.203744299
70,4/1/76,1976,2,6,1976_6,13232.4,74.8,0.568492734
71,7/1/76,1976,3,7,1976_7,13335.7,103.3,0.780659593
72,10/1/76,1976,4,8,1976_8,13420.4,84.7,0.635137263
73,1/1/77,1977,1,1,1977_1,13450.5,30.1,0.224285416
74,4/1/77,1977,2,2,1977_2,13576.7,126.2,0.938255083
75,7/1/77,1977,3,3,1977_3,13765.3,188.6,1.389144638
76,10/1/77,1977,4,4,1977_4,14028.5,263.2,1.912054223
77,1/1/78,1978,1,5,1978_5,14138.8,110.3,0.786256549
78,4/1/78,1978,2,6,1978_6,14288.5,149.7,1.058788582
79,7/1/78,1978,3,7,1978_7,14399.4,110.9,0.776148651
80,10/1/78,1978,4,8,1978_8,14494.2,94.8,0.658360765
81,1/1/79,1979,1,1,1979_1,14669.4,175.2,1.208759366
82,4/1/79,1979,2,2,1979_2,14537.4,-132,-0.899832304
83,7/1/79,1979,3,3,1979_3,14603.3,65.9,0.453313522
84,10/1/79,1979,4,4,1979_4,14628.4,25.1,0.171878959
85,1/1/80,1980,1,5,1980_5,14678.9,50.5,0.345218889
86,4/1/80,1980,2,6,1980_6,14550.2,-128.7,-0.876768695
87,7/1/80,1980,3,7,1980_7,14713.5,163.3,1.122321343
88,10/1/80,1980,4,8,1980_8,14916,202.5,1.376287083
89,1/1/81,1981,1,1,1981_1,14895.3,-20.7,-0.138777152
90,4/1/81,1981,2,2,1981_2,14912.7,17.4,0.116815371
91,7/1/81,1981,3,3,1981_3,15234.2,321.5,2.155880558
92,10/1/81,1981,4,4,1981_4,15251.1,16.9,0.110934608
93,1/1/82,1982,1,5,1982_5,15287.9,36.8,0.241294071
94,4/1/82,1982,2,6,1982_6,15380.3,92.4,0.604399558
95,7/1/82,1982,3,7,1982_7,15454,73.7,0.479184411
96,10/1/82,1982,4,8,1982_8,15502.5,48.5,0.313834606
97,1/1/83,1983,1,1,1983_1,15648.7,146.2,0.943073698
98,4/1/83,1983,2,2,1983_2,15757.3,108.6,0.69398736
99,7/1/83,1983,3,3,1983_3,15993.5,236.2,1.498987771
100,10/1/83,1983,4,4,1983_4,16349.8,356.3,2.227780036
101,1/1/84,1984,1,5,1984_5,16675.9,326.1,1.994519811
102,4/1/84,1984,2,6,1984_6,16953.4,277.5,1.664078101
103,7/1/84,1984,3,7,1984_7,17177.2,223.8,1.320089186
104,10/1/84,1984,4,8,1984_8,17317.4,140.2,0.816198216
105,1/1/85,1985,1,1,1985_1,17272.7,-44.7,-0.258121889
106,4/1/85,1985,2,2,1985_2,17608.6,335.9,1.944687281
107,7/1/85,1985,3,3,1985_3,17553.7,-54.9,-0.311779471
108,10/1/85,1985,4,4,1985_4,17739.3,185.6,1.057326945
109,1/1/86,1986,1,5,1986_5,17972.5,233.2,1.314595277
110,4/1/86,1986,2,6,1986_6,18202.3,229.8,1.278620114
111,7/1/86,1986,3,7,1986_7,18318.7,116.4,0.639479626
112,10/1/86,1986,4,8,1986_8,18346.4,27.7,0.151211603
113,1/1/87,1987,1,1,1987_1,18515.5,169.1,0.921706711
114,4/1/87,1987,2,2,1987_2,18341.4,-174.1,-0.940293268
115,7/1/87,1987,3,3,1987_3,18670.3,328.9,1.793210987
116,10/1/87,1987,4,4,1987_4,18922,251.7,1.348130453
117,1/1/88,1988,1,5,1988_5,19199.7,277.7,1.467603847
118,4/1/88,1988,2,6,1988_6,19397.4,197.7,1.029703589
119,7/1/88,1988,3,7,1988_7,19584.6,187.2,0.965077794
120,10/1/88,1988,4,8,1988_8,19769.6,185,0.944619752
121,1/1/89,1989,1,1,1989_1,19994.4,224.8,1.137099385
122,4/1/89,1989,2,2,1989_2,19935.7,-58.7,-0.293582203
123,7/1/89,1989,3,3,1989_3,20068.1,132.4,0.664135195
124,10/1/89,1989,4,4,1989_4,20238,169.9,0.846617268
125,1/1/90,1990,1,5,1990_5,20393.3,155.3,0.767368317
126,4/1/90,1990,2,6,1990_6,20535.3,142,0.69630712
127,7/1/90,1990,3,7,1990_7,20528.4,-6.9,-0.033600678
128,10/1/90,1990,4,8,1990_8,20352.9,-175.5,-0.854913193
129,1/1/91,1991,1,1,1991_1,20403.9,51,0.250578542
130,4/1/91,1991,2,2,1991_2,20553,149.1,0.730742652
131,7/1/91,1991,3,3,1991_3,20636.9,83.9,0.408212913
132,10/1/91,1991,4,4,1991_4,20808.5,171.6,0.831520238
133,1/1/92,1992,1,5,1992_5,21227.3,418.8,2.012639066
134,4/1/92,1992,2,6,1992_6,21437.8,210.5,0.991647548
135,7/1/92,1992,3,7,1992_7,21537.4,99.6,0.464599912
136,10/1/92,1992,4,8,1992_8,21635,97.6,0.453165192
137,1/1/93,1993,1,1,1993_1,21716.3,81.3,0.375779986
138,4/1/93,1993,2,2,1993_2,21783.7,67.4,0.310365946
139,7/1/93,1993,3,3,1993_3,21802.6,18.9,0.08676212
140,10/1/93,1993,4,4,1993_4,21953.8,151.2,0.693495271
141,1/1/94,1994,1,5,1994_5,22099,145.2,0.661388917
142,4/1/94,1994,2,6,1994_6,22321.4,222.4,1.006380379
143,7/1/94,1994,3,7,1994_7,22451.8,130.4,0.584192748
144,10/1/94,1994,4,8,1994_8,22773.8,322,1.434183451
145,1/1/95,1995,1,1,1995_1,22968.6,194.8,0.855368889
146,4/1/95,1995,2,2,1995_2,23033.7,65.1,0.283430422
147,7/1/95,1995,3,3,1995_3,23244.8,211.1,0.91648324
148,10/1/95,1995,4,4,1995_4,23380.6,135.8,0.584216685
149,1/1/96,1996,1,5,1996_5,23602,221.4,0.946938915
150,4/1/96,1996,2,6,1996_6,23818.2,216.2,0.916024066
151,7/1/96,1996,3,7,1996_7,24011.1,192.9,0.809884878
152,10/1/96,1996,4,8,1996_8,24139.1,128,0.533086781
153,1/1/97,1997,1,1,1997_1,24369,229.9,0.952396734
154,4/1/97,1997,2,2,1997_2,24585.1,216.1,0.886782387
155,7/1/97,1997,3,3,1997_3,24874.3,289.2,1.176322244
156,10/1/97,1997,4,4,1997_4,25240.7,366.4,1.473006276
157,1/1/98,1998,1,5,1998_5,25772,531.3,2.104933698
158,4/1/98,1998,2,6,1998_6,26126.4,354.4,1.375135806
159,7/1/98,1998,3,7,1998_7,26389.6,263.2,1.007410129
160,10/1/98,1998,4,8,1998_8,26598.6,209,0.791978658
161,1/1/99,1999,1,1,1999_1,26838.9,240.3,0.903431008
162,4/1/99,1999,2,2,1999_2,26899.3,60.4,0.225046481
163,7/1/99,1999,3,3,1999_3,27083,183.7,0.682917399
164,10/1/99,1999,4,4,1999_4,27489.7,406.7,1.501680021
165,1/1/00,2000,1,5,2000_5,28016.2,526.5,1.915262808
166,4/1/00,2000,2,6,2000_6,28325.7,309.5,1.104717985
167,7/1/00,2000,3,7,2000_7,28654.9,329.2,1.162195462
168,10/1/00,2000,4,8,2000_8,28757.2,102.3,0.357007004
169,1/1/01,2001,1,1,2001_1,29017.7,260.5,0.905860098
170,4/1/01,2001,2,2,2001_2,28967.2,-50.5,-0.174031712
171,7/1/01,2001,3,3,2001_3,29635.6,668.4,2.307437377
172,10/1/01,2001,4,4,2001_4,29261,-374.6,-1.2640203
173,1/1/02,2002,1,5,2002_5,29920.6,659.6,2.254195004
174,4/1/02,2002,2,6,2002_6,30123.1,202.5,0.676791241
175,7/1/02,2002,3,7,2002_7,30096.8,-26.3,-0.087308411
176,10/1/02,2002,4,8,2002_8,30275.5,178.7,0.593750831
177,1/1/03,2003,1,1,2003_1,30346.8,71.3,0.235503955
178,4/1/03,2003,2,2,2003_2,30716.6,369.8,1.218579883
179,7/1/03,2003,3,3,2003_3,31236.1,519.5,1.691267914
180,10/1/03,2003,4,4,2003_4,31317.9,81.8,0.261876483
181,1/1/04,2004,1,5,2004_5,31462.2,144.3,0.460758863
182,4/1/04,2004,2,6,2004_6,31822.5,360.3,1.145183744
183,7/1/04,2004,3,7,2004_7,32030.5,208,0.653625579
184,10/1/04,2004,4,8,2004_8,32434.6,404.1,1.261610028
185,1/1/05,2005,1,1,2005_1,32054.7,-379.9,-1.171280053
186,4/1/05,2005,2,2,2005_2,32359.2,304.5,0.949938699
187,7/1/05,2005,3,3,2005_3,32454.6,95.4,0.294815694
188,10/1/05,2005,4,4,2005_4,32870.7,416.1,1.282098686
189,1/1/06,2006,1,5,2006_5,33509.8,639.1,1.944284728
190,4/1/06,2006,2,6,2006_6,33591.3,81.5,0.243212433
191,7/1/06,2006,3,7,2006_7,33678.4,87.1,0.259293329
192,10/1/06,2006,4,8,2006_8,34122.9,444.5,1.319837047
193,1/1/07,2007,1,1,2007_1,34413.2,290.3,0.850748324
194,4/1/07,2007,2,2,2007_2,34501.4,88.2,0.256297002
195,7/1/07,2007,3,3,2007_3,34532,30.6,0.088692053
196,10/1/07,2007,4,4,2007_4,34555.5,23.5,0.068052821
197,1/1/08,2008,1,5,2008_5,34651.4,95.9,0.277524562
198,4/1/08,2008,2,6,2008_6,35284.5,633.1,1.827054607
199,7/1/08,2008,3,7,2008_7,34544.1,-740.4,-2.098371806
200,10/1/08,2008,4,8,2008_8,34845.9,301.8,0.873665836
201,1/1/09,2009,1,1,2009_1,34695.7,-150.2,-0.431040668
202,4/1/09,2009,2,2,2009_2,35068.7,373,1.075061175
203,7/1/09,2009,3,3,2009_3,34672,-396.7,-1.131208171
204,10/1/09,2009,4,4,2009_4,34663.2,-8.8,-0.025380711
205,1/1/10,2010,1,5,2010_5,34858.2,195,0.562556256
206,4/1/10,2010,2,6,2010_6,35432.6,574.4,1.647818878
207,7/1/10,2010,3,7,2010_7,35684.7,252.1,0.711491677
208,10/1/10,2010,4,8,2010_8,35884.6,199.9,0.560184056
209,1/1/11,2011,1,1,2011_1,36250.4,365.8,1.019378786
210,4/1/11,2011,2,2,2011_2,36171.1,-79.3,-0.218756207
211,7/1/11,2011,3,3,2011_3,36329,157.9,0.436536351
212,10/1/11,2011,4,4,2011_4,36441.9,112.9,0.310771009
213,1/1/12,2012,1,5,2012_5,37124,682.1,1.871746534
214,4/1/12,2012,2,6,2012_6,37461.7,337.7,0.909654132
215,7/1/12,2012,3,7,2012_7,37193.7,-268,-0.715397326
216,10/1/12,2012,4,8,2012_8,38223.8,1030.1,2.769555059
217,1/1/13,2013,1,1,2013_1,36694,-1529.8,-4.002218513
218,4/1/13,2013,2,2,2013_2,36967.1,273.1,0.744263367
219,7/1/13,2013,3,3,2013_3,37127.7,160.6,0.434440354
220,10/1/13,2013,4,4,2013_4,37274.3,146.6,0.394853438
221,1/1/14,2014,1,5,2014_5,37793.7,519.4,1.393453398
222,4/1/14,2014,2,6,2014_6,38307.8,514.1,1.360279623
223,7/1/14,2014,3,7,2014_7,38755,447.2,1.167386276
224,10/1/14,2014,4,8,2014_8,39267.4,512.4,1.32215198
225,1/1/15,2015,1,1,2015_1,39850.4,583,1.484692136
226,4/1/15,2015,2,2,2015_2,39964.3,113.9,0.285818963
227,7/1/15,2015,3,3,2015_3,40241.1,276.8,0.692618162
228,10/1/15,2015,4,4,2015_4,40471.6,230.5,0.572797463
229,1/1/16,2016,1,5,2016_5,40782.5,310.9,0.768193004
230,4/1/16,2016,2,6,2016_6,40755.7,-26.8,-0.065714461
231,7/1/16,2016,3,7,2016_7,40949.4,193.7,0.475270944
232,10/1/16,2016,4,8,2016_8,41204.5,255.1,0.622963951
233,1/1/17,2017,1,1,2017_1,41642.1,437.6,1.062019925
234,4/1/17,2017,2,2,2017_2,42090.3,448.2,1.076314595
235,7/1/17,2017,3,3,2017_3,42376.2,285.9,0.67925389
236,10/1/17,2017,4,4,2017_4,42617.6,241.4,0.569659384
237,1/1/18,2018,1,5,2018_5,43159.9,542.3,1.272478976
238,4/1/18,2018,2,6,2018_6,43540.8,380.9,0.882532165
239,7/1/18,2018,3,7,2018_7,43897.8,357,0.819920626
240,10/1/18,2018,4,8,2018_8,44196.8,299,0.681127528
241,1/1/19,2019,1,1,2019_1,44560.7,363.9,0.823362777
242,4/1/19,2019,2,2,2019_2,44453.6,-107.1,-0.240346314
243,7/1/19,2019,3,3,2019_3,44686.3,232.7,0.523467166
244,10/1/19,2019,4,4,2019_4,44893.6,207.3,0.463900569
245,1/1/20,2020,1,5,2020_5,45178.9,285.3,0.635502611
246,4/1/20,2020,2,6,2020_6,49572.2,4393.3,9.724229674
247,7/1/20,2020,3,7,2020_7,47349.2,-2223,-4.484368255
248,10/1/20,2020,4,8,2020_8,46328.7,-1020.5,-2.155263447
249,1/1/21,2021,1,1,2021_1,51656.3,5327.6,11.49956722
250,4/1/21,2021,2,2,2021_2,47419.7,-4236.6,-8.201516562
251,7/1/21,2021,3,3,2021_3,46921.5,-498.2,-1.050618203
252,10/1/21,2021,4,4,2021_4,46385.9,-535.6,-1.141480984
253,1/1/22,2022,1,5,2022_5,45456.7,-929.2,-2.003194936
254,4/1/22,2022,2,6,2022_6,30299.2,-15157.5,-33.34491945