"","year","party","winner_party.x","seats","Other_seats.x","votes","total_votes.x","majorvote_pct","president_party","H_incumbent_party_winner","H_incumbent_party"
"1",1948,"R","D",171,17,21613079,49560252,46.6,"D",FALSE,"R"
"2",1948,"D","D",263,17,24762972,49560252,53.4,"D",FALSE,"R"
"3",1950,"R","R",199,16,20925177,44050445,50.29,"D",FALSE,"D"
"4",1950,"D","R",234,16,20681636,44050445,49.71,"D",FALSE,"D"
"5",1952,"R","D",221,19,28860092,61803866,48.82,"R",FALSE,"R"
"6",1952,"D","D",213,19,30255614,61803866,51.18,"R",FALSE,"R"
"7",1954,"R","D",203,7,21092608,45251283,47.6,"R",TRUE,"D"
"8",1954,"D","D",232,7,23223158,45251283,52.4,"R",TRUE,"D"
"9",1956,"R","D",201,9,29829376,62457894,48.75,"R",TRUE,"D"
"10",1956,"D","D",234,9,31354867,62457894,51.25,"R",TRUE,"D"
"11",1958,"R","D",153,11,20435025,46851436,45.03,"R",TRUE,"D"
"12",1958,"D","D",283,11,24943266,46851436,54.97,"R",TRUE,"D"
"13",1960,"R","D",175,5,29445993,65678881,45.65,"D",TRUE,"D"
"14",1960,"D","D",262,5,35060186,65678881,54.35,"D",TRUE,"D"
"15",1962,"R","D",176,5,29161465,62760124,47.13,"D",TRUE,"D"
"16",1962,"D","D",258,5,32713542,62760124,52.87,"D",TRUE,"D"
"17",1964,"R","D",140,4,30997556,73565373,42.73,"D",TRUE,"D"
"18",1964,"D","D",295,4,41545599,73565373,57.27,"D",TRUE,"D"
"19",1966,"R","D",187,3,25700061,53199376,49.14,"D",TRUE,"D"
"20",1966,"D","D",248,3,26596037,53199376,50.86,"D",TRUE,"D"
"21",1968,"R","D",192,0,32183586,66455377,49.08,"R",TRUE,"D"
"22",1968,"D","D",243,0,33395717,66455377,50.92,"R",TRUE,"D"
"23",1970,"R","D",180,0,24414855,54147415,45.78,"R",TRUE,"D"
"24",1970,"D","D",255,0,28921540,54147415,54.22,"R",TRUE,"D"
"25",1972,"R","D",192,1,33160947,71254917,47.18,"R",TRUE,"D"
"26",1972,"D","D",242,1,37120058,71254917,52.82,"R",TRUE,"D"
"27",1974,"R","D",144,0,21286921,52324462,41.43,"R",TRUE,"D"
"28",1974,"D","D",291,0,30089520,52324462,58.57,"R",TRUE,"D"
"29",1976,"R","D",143,0,31241822,74256718,42.81,"D",TRUE,"D"
"30",1976,"D","D",292,0,41742193,74256718,57.19,"D",TRUE,"D"
"31",1978,"R","D",158,0,24891165,55261245,45.69,"D",TRUE,"D"
"32",1978,"D","D",277,0,29587800,55261245,54.31,"D",TRUE,"D"
"33",1980,"R","D",192,1,37320299,77865321,48.72,"R",TRUE,"D"
"34",1980,"D","D",242,1,39289061,77865321,51.28,"R",TRUE,"D"
"35",1982,"R","D",166,1,27796580,64362196,43.85,"R",TRUE,"D"
"36",1982,"D","D",269,1,35588614,64362196,56.15,"R",TRUE,"D"
"37",1984,"R","D",182,0,38894020,82995246,47.28,"R",TRUE,"D"
"38",1984,"D","D",253,0,43371948,82995246,52.72,"R",TRUE,"D"
"39",1986,"R","D",177,0,26599585,59899733,44.81,"R",TRUE,"D"
"40",1986,"D","D",258,0,32758176,59899733,55.19,"R",TRUE,"D"
"41",1988,"R","D",175,0,37305980,82022316,46,"R",TRUE,"D"
"42",1988,"D","D",260,0,43793276,82022316,54,"R",TRUE,"D"
"43",1990,"R","D",167,1,28052184,62407173,45.91,"R",TRUE,"D"
"44",1990,"D","D",267,1,33052166,62407173,54.09,"R",TRUE,"D"
"45",1992,"R","D",176,1,43257458,95216606,47.14,"D",TRUE,"D"
"46",1992,"D","D",258,1,48511831,95216606,52.86,"D",TRUE,"D"
"47",1994,"R","R",230,1,37099921,70763202,53.59,"D",FALSE,"D"
"48",1994,"D","R",204,1,32124517,70763202,46.41,"D",FALSE,"D"
"49",1996,"R","D",226,2,42842236,88217606,49.84,"D",FALSE,"R"
"50",1996,"D","D",207,2,43110112,88217606,50.16,"D",FALSE,"R"
"51",1998,"R","R",223,1,32254557,65896772,50.61,"D",FALSE,"D"
"52",1998,"D","R",211,1,31482036,65896772,49.39,"D",FALSE,"D"
"53",2000,"R","R",221,2,46954281,97226268,50.23,"R",TRUE,"R"
"54",2000,"D","R",212,2,46520851,97226268,49.77,"R",TRUE,"R"
"55",2002,"R","R",229,1,37387921,73449133,52.55,"R",TRUE,"R"
"56",2002,"D","R",204,1,33758288,73449133,47.45,"R",TRUE,"R"
"57",2004,"R","R",232,1,55956623,111619190,51.37,"R",TRUE,"R"
"58",2004,"D","R",202,1,52971423,111619190,48.63,"R",TRUE,"R"
"59",2006,"R","D",202,0,35884573,80051355,45.91,"R",FALSE,"R"
"60",2006,"D","D",233,0,42281320,80051355,54.09,"R",FALSE,"R"
"61",2008,"R","D",178,0,52187151,120720320,44.44,"D",TRUE,"D"
"62",2008,"D","D",256,0,65247248,120720320,55.56,"D",TRUE,"D"
"63",2010,"R","R",242,0,43288427,83583446,53.47,"D",FALSE,"D"
"64",2010,"D","R",193,0,37663261,83583446,46.53,"D",FALSE,"D"
"65",2012,"R","D",234,0,58141241,121136773,49.39,"D",FALSE,"R"
"66",2012,"D","D",200,0,59586011,121136773,50.61,"D",FALSE,"R"
"67",2014,"R","R",247,0,40029863,77889271,52.91,"D",FALSE,"D"
"68",2014,"D","R",188,0,35628989,77889271,47.09,"D",FALSE,"D"
"69",2016,"R","R",241,0,62977862,128377310,50.5,"R",TRUE,"R"
"70",2016,"D","R",194,0,61730626,128377310,49.5,"R",TRUE,"R"
"71",2018,"R","D",199,0,51117086,113985831,45.65,"R",FALSE,"R"
"72",2018,"D","D",235,0,60860585,113985831,54.35,"R",FALSE,"R"
"73",2020,"R","D",212,0,72916809,152701256,48.5,"D",TRUE,"D"
"74",2020,"D","D",222,0,77430912,152701256,51.5,"D",TRUE,"D"
