year,state,district,cook,rothenberg,cq_politics,sabatos_crystal_ball,real_clear,roll_call,ny_times,the_hill,daily_kos,fivethirtyeight,ddhq,elections_daily,politico,fox,the_economist,avg_rating
2010,Alabama,2,4,4.75,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95
2010,Alabama,5,6,7,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4
2010,Arizona,1,5,5.5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1
2010,Arizona,3,5,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8
2010,Arizona,5,4,4.75,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55
2010,Arizona,7,4,2.5,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3
2010,Arizona,8,4,4,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2010,Arkansas,1,5,4.75,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75
2010,Arkansas,2,6,6.25,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.05
2010,California,3,5,5.5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1
2010,California,11,4,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4
2010,California,18,2,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8
2010,California,20,4,2.5,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
2010,California,47,3,2.5,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7
2010,Colorado,3,4,4.75,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55
2010,Colorado,4,5,6.25,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.45
2010,Colorado,7,3,1.75,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75
2010,Connecticut,4,3,1.75,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95
2010,Connecticut,5,3,1.75,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95
2010,Delaware,AL,2,2.5,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5
2010,Florida,2,5,6.25,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25
2010,Florida,8,6,6.25,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.45
2010,Florida,12,5,4.75,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.15
2010,Florida,22,4,4,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2
2010,Florida,24,5,6.25,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.45
2010,Florida,25,5,5.5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1
2010,Georgia,2,4,2.5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1
2010,Georgia,8,5,5.5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1
2010,Hawaii,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2
2010,Idaho,1,4,3.25,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.85
2010,Illinois,8,2,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8
2010,Illinois,10,3,3.25,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25
2010,Illinois,11,5,6.25,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.65
2010,Illinois,14,4,4.75,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55
2010,Illinois,17,4,4.75,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55
2010,Indiana,2,4,2.5,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3
2010,Indiana,8,6,6.25,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85
2010,Indiana,9,4,4.75,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75
2010,Iowa,1,3,1.75,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55
2010,Iowa,2,3,1.75,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55
2010,Iowa,3,3,1.75,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75
2010,Kansas,3,6,6.25,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.05
2010,Kentucky,3,2,1.75,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15
2010,Kentucky,6,4,2.5,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3
2010,Louisiana,2,3,1.75,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55
2010,Louisiana,3,6,6.25,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25
2010,Maine,1,4,1.75,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15
2010,Maine,2,3,1.75,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35
2010,Maryland,1,5,5.5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1
2010,Massachusetts,4,3,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2
2010,Massachusetts,5,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6
2010,Massachusetts,10,4,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8
2010,Michigan,1,5,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8
2010,Michigan,7,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2
2010,Michigan,9,3,2.5,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9
2010,Minnesota,1,3,1.75,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75
2010,Minnesota,6,6,7,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4
2010,Minnesota,8,4,1.75,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95
2010,Mississippi,1,4,4.75,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55
2010,Mississippi,4,4,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8
2010,Missouri,3,3,1.75,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35
2010,Missouri,4,4,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8
2010,Nebraska,2,6,7,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4
2010,Nevada,3,5,4.75,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95
2010,New Hampshire,1,5,6.25,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25
2010,New Hampshire,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2
2010,New Jersey,3,4,4.75,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35
2010,New Jersey,12,2,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8
2010,New Mexico,1,4,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
2010,New Mexico,2,5,5.5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9
2010,New York,1,4,3.25,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45
2010,New York,4,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6
2010,New York,13,3,1.75,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75
2010,New York,19,4,4.75,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35
2010,New York,20,4,4.75,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55
2010,New York,22,3,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2
2010,New York,23,4,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4
2010,New York,24,4,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8
2010,New York,25,3,1.75,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35
2010,New York,29,6,6.25,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25
2010,North Carolina,2,3,3.25,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85
2010,North Carolina,7,4,3.25,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25
2010,North Carolina,8,4,2.5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9
2010,North Carolina,11,3,1.75,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55
2010,North Dakota,AL,4,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4
2010,Ohio,1,5,6.25,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.45
2010,Ohio,6,4,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8
2010,Ohio,12,6,7,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4
2010,Ohio,13,2,1.75,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15
2010,Ohio,15,5,6.25,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.65
2010,Ohio,16,4,5.5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7
2010,Ohio,18,4,4.75,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55
2010,Oregon,1,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6
2010,Oregon,5,4,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8
2010,Pennsylvania,3,5,6.25,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.45
2010,Pennsylvania,4,3,1.75,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35
2010,Pennsylvania,6,6,7,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2
2010,Pennsylvania,7,5,4.75,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55
2010,Pennsylvania,8,4,4.75,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35
2010,Pennsylvania,10,4,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4
2010,Pennsylvania,11,4,4.75,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55
2010,Pennsylvania,12,3,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4
2010,Pennsylvania,15,6,6.25,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.65
2010,Pennsylvania,17,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8
2010,Rhode Island,1,3,2.5,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1
2010,South Carolina,5,4,5.5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9
2010,South Dakota,AL,4,4.75,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55
2010,Tennessee,4,4,4.75,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35
2010,Tennessee,6,6,6.25,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25
2010,Tennessee,8,6,6.25,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.05
2010,Texas,17,5,6.25,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.65
2010,Texas,23,4,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4
2010,Texas,27,3,1.75,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35
2010,Virginia,2,5,5.5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1
2010,Virginia,5,5,4.75,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75
2010,Virginia,9,4,3.25,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45
2010,Virginia,11,4,2.5,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3
2010,Washington,2,4,2.5,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3
2010,Washington,3,5,4.75,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75
2010,Washington,8,6,6.25,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.45
2010,West Virginia,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2
2010,West Virginia,3,2,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2010,Wisconsin,3,3,1.75,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75
2010,Wisconsin,7,4,4.75,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55
2010,Wisconsin,8,5,5.5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1
2012,Arizona,1,4,4,NA,5,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,4.142857143
2012,Arizona,2,3,4,NA,2,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,3.142857143
2012,Arizona,9,3,4,NA,3,3,4,2.5,4,NA,NA,NA,NA,NA,NA,NA,3.357142857
2012,Arkansas,1,7,7,NA,7,7,7,7,6,NA,NA,NA,NA,NA,NA,NA,6.857142857
2012,Arkansas,4,6,7,NA,7,7,7,7,6,NA,NA,NA,NA,NA,NA,NA,6.714285714
2012,California,3,2,1,NA,1,2,2,2.5,3,NA,NA,NA,NA,NA,NA,NA,1.928571429
2012,California,7,4,4,NA,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,3.857142857
2012,California,9,4,4,NA,3,4,4,2.5,3,NA,NA,NA,NA,NA,NA,NA,3.5
2012,California,10,4,4,NA,5,4,4,5.5,4,NA,NA,NA,NA,NA,NA,NA,4.357142857
2012,California,16,1,1,NA,1,1,1,2.5,2,NA,NA,NA,NA,NA,NA,NA,1.357142857
2012,California,21,6,7,NA,6,6,7,5.5,5,NA,NA,NA,NA,NA,NA,NA,6.071428571
2012,California,24,3,4,NA,3,4,4,2.5,4,NA,NA,NA,NA,NA,NA,NA,3.5
2012,California,26,4,4,NA,3,4,4,2.5,4,NA,NA,NA,NA,NA,NA,NA,3.642857143
2012,California,36,4,4,NA,5,4,4,5.5,4,NA,NA,NA,NA,NA,NA,NA,4.357142857
2012,California,41,3,2.5,NA,3,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,3.071428571
2012,California,47,2,1.75,NA,2,2,1,2.5,2,NA,NA,NA,NA,NA,NA,NA,1.892857143
2012,California,52,4,4,NA,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,3.857142857
2012,Colorado,3,5,6.25,NA,6,5,4,5.5,5,NA,NA,NA,NA,NA,NA,NA,5.25
2012,Colorado,6,4,4,NA,5,4,4,5.5,4,NA,NA,NA,NA,NA,NA,NA,4.357142857
2012,Colorado,7,3,2.5,NA,2,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,2.071428571
2012,Connecticut,4,1,1,NA,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,1.142857143
2012,Connecticut,5,4,4,NA,3,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,3.571428571
2012,Florida,2,5,6.25,NA,5,5,5,5.5,6,NA,NA,NA,NA,NA,NA,NA,5.392857143
2012,Florida,9,2,1,NA,1,2,1,2.5,2,NA,NA,NA,NA,NA,NA,NA,1.642857143
2012,Florida,10,5,5.5,NA,5,5,5,5.5,4,NA,NA,NA,NA,NA,NA,NA,5
2012,Florida,13,7,7,NA,7,6,7,7,5,NA,NA,NA,NA,NA,NA,NA,6.571428571
2012,Florida,16,6,6.25,NA,6,6,6,5.5,6,NA,NA,NA,NA,NA,NA,NA,5.964285714
2012,Florida,18,4,4,NA,5,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,4.285714286
2012,Florida,22,2,1.75,NA,3,3,2,2.5,4,NA,NA,NA,NA,NA,NA,NA,2.607142857
2012,Florida,26,3,2.5,NA,3,3,3,4,2,NA,NA,NA,NA,NA,NA,NA,2.928571429
2012,Georgia,12,4,4,NA,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,3.857142857
2012,Illinois,8,2,1.75,NA,3,2,3,2.5,2,NA,NA,NA,NA,NA,NA,NA,2.321428571
2012,Illinois,10,4,4,NA,5,4,4,2.5,4,NA,NA,NA,NA,NA,NA,NA,3.928571429
2012,Illinois,11,4,4,NA,3,3,4,2.5,3,NA,NA,NA,NA,NA,NA,NA,3.357142857
2012,Illinois,12,4,4,NA,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,3.857142857
2012,Illinois,13,4,4,NA,3,4,4,5.5,4,NA,NA,NA,NA,NA,NA,NA,4.071428571
2012,Illinois,17,4,4,NA,3,4,4,2.5,3,NA,NA,NA,NA,NA,NA,NA,3.5
2012,Indiana,2,6,7,NA,6,6,6,1,5,NA,NA,NA,NA,NA,NA,NA,5.285714286
2012,Indiana,8,5,6.25,NA,5,6,7,5.5,5,NA,NA,NA,NA,NA,NA,NA,5.678571429
2012,Iowa,1,2,1,NA,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,1.571428571
2012,Iowa,2,2,1.75,NA,2,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,1.964285714
2012,Iowa,3,5,4,NA,5,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,4.285714286
2012,Iowa,4,5,4,NA,5,4,5,5.5,5,NA,NA,NA,NA,NA,NA,NA,4.785714286
2012,Kentucky,6,4,4,NA,5,4,4,2.5,4,NA,NA,NA,NA,NA,NA,NA,3.928571429
2012,Maine,2,1,1,NA,1,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,1.428571429
2012,Maryland,6,2,1.75,NA,2,2,2,2.5,3,NA,NA,NA,NA,NA,NA,NA,2.178571429
2012,Massachusetts,6,5,5.5,NA,5,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,4.928571429
2012,Michigan,1,4,4,NA,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,3.857142857
2012,Michigan,3,6,7,NA,5,6,6,5.5,7,NA,NA,NA,NA,NA,NA,NA,6.071428571
2012,Michigan,6,7,7,NA,7,7,7,7,6,NA,NA,NA,NA,NA,NA,NA,6.857142857
2012,Michigan,7,7,7,NA,7,7,7,5.5,7,NA,NA,NA,NA,NA,NA,NA,6.785714286
2012,Michigan,11,5,5.5,NA,5,4,6,5.5,6,NA,NA,NA,NA,NA,NA,NA,5.285714286
2012,Minnesota,2,7,7,NA,6,7,6,5.5,6,NA,NA,NA,NA,NA,NA,NA,6.357142857
2012,Minnesota,6,5,5.5,NA,6,5,5,7,5,NA,NA,NA,NA,NA,NA,NA,5.5
2012,Minnesota,7,1,1,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,1.142857143
2012,Minnesota,8,4,4,NA,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,3.857142857
2012,Montana,AL,6,7,NA,6,6,6,7,6,NA,NA,NA,NA,NA,NA,NA,6.285714286
2012,Nebraska,2,6,7,NA,7,5,7,7,6,NA,NA,NA,NA,NA,NA,NA,6.428571429
2012,Nevada,3,5,5.5,NA,5,5,5,5.5,4,NA,NA,NA,NA,NA,NA,NA,5
2012,Nevada,4,4,4,NA,3,4,4,2.5,4,NA,NA,NA,NA,NA,NA,NA,3.642857143
2012,New Hampshire,1,4,4,NA,5,4,4,5.5,4,NA,NA,NA,NA,NA,NA,NA,4.357142857
2012,New Hampshire,2,3,4,NA,3,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,3.428571429
2012,New Jersey,3,5,6.25,NA,6,5,7,5.5,6,NA,NA,NA,NA,NA,NA,NA,5.821428571
